iscnPrefix,classTitle,classDescription,imageUrl,catalogId,mintCount,listCount,editionTitleEn,editionTitleZh,editionDescriptionEn,editionDescriptionZh,editionPriceUSD,classId
iscn://likecoin-chain/Tb2GjpCjPDGp9ipJgC16f-kRjWQrH_Yb9qvM7CRJL70,"""George Washington's"" Last Duel 1891",,https://www.gutenberg.org/cache/epub/23013/pg23013.cover.medium.jpg,23013,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft175lvsrqeqnvrdsy00fszet9mwcx3x8x026e33vk033ntzw4a0p0sffykdh
iscn://likecoin-chain/1n5dpA8W_NQg0DyO5swvSTzuPQbbUMoCswjtO954pY4,"""I Say No""",,https://www.gutenberg.org/cache/epub/1629/pg1629.cover.medium.jpg,1629,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1gkp64ttqlkw2706ddnkeadn8tzsca46pz8dqyugyvc96mhrpvwdsdp8rca
iscn://likecoin-chain/EYiMJk0V91WFB8SXXmYxjxn2Oe1xGK6fzVlyUV5nL1M,"""Le Monsieur de la Petite Dame""",,https://www.gutenberg.org/cache/epub/23329/pg23329.cover.medium.jpg,23329,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1m4rqzpp27a7y9546446hr594e77y6yptr87z25k9mt9nppj0wy7sjdchxc
iscn://likecoin-chain/UxgHURFQx96Zxv2rsxauEWfRlBd9GGdvB52KGyM8hxs,"""Martin Of Nitendi""; and The River Of Dreams 1901",,https://www.gutenberg.org/cache/epub/24641/pg24641.cover.medium.jpg,24641,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vc8d5vet9wk3g9yca4tuj5quw93e88z3nl6w3c8g55e73h9wz08s9gre6h
iscn://likecoin-chain/uJznZhaQlAgmS4L_qjFT_DwoIgWvXdaPon3Tt2OEA4Y,"""Miss Lou""",,https://www.gutenberg.org/cache/epub/5309/pg5309.cover.medium.jpg,5309,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1v7sxfsgumy0hqkcpaunzzlxs9sqjch085e8jlr5naw80mwq58pqq0dfc79
iscn://likecoin-chain/KtDaMWiBIyJAboamREo1X1-VOmXKM6Baa367skiSQz0,,,https://www.gutenberg.org/cache/epub/23015/pg23015.cover.medium.jpg,23015,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1m8mzw255zsa2d88cn2ak6fpeh8gdvfuzxdfgxxhktxlfccdrdwpqlevrse
iscn://likecoin-chain/fc0qQ-vQBvE0wou8OVMEyRWnUyyD1BPJ647PGOsAvzg,"""Seth""",,https://www.gutenberg.org/cache/epub/23325/pg23325.cover.medium.jpg,23325,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1zg6ejpuaz955rpqt9vy60lvrjkrd2pk3j93k0trpac0zunvj3tmqqmfjpx
iscn://likecoin-chain/Y8RRDV3FI5tW915oOXrKph05tIgG2UDDcz73VGaEc9s,"""Surly Tim"": A Lancashire Story",,https://www.gutenberg.org/cache/epub/23324/pg23324.cover.medium.jpg,23324,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ce450wvdz8mgrsl0c5d7p2kk8ajvu9lkc749nd830nszhmq6ce9s4wu5d8
iscn://likecoin-chain/9rEAalUGg0742WdJlZAifToHu4wsI20yJkgAmRWTSic,"""The Gallant, Good Riou"", and Jack Renton 1901",,https://www.gutenberg.org/cache/epub/25106/pg25106.cover.medium.jpg,25106,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft19eeqr0t5mrrrkr385y4k4pgjkpf7a7mqqqajthh8wh63e76re6gq90caqh
iscn://likecoin-chain/4v7aIXgCTi8zjxJ7VmYZmjB43sjrTsCcrs2qHDAf23Y,"""The Kingdom of God Is Within You"" Christianity Not as a Mystic Religion but as a New Theory of Life",,https://www.gutenberg.org/cache/epub/43302/pg43302.cover.medium.jpg,43302,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1m57es4ynwhyyvlfye4zq2t34334dzxz5kuh5t48t8r5e3g4z722sfkk23j
