iscnPrefix,classTitle,classDescription,author,imageUrl,catalogId,mintCount,listCount,editionTitleEn,editionTitleZh,editionDescriptionEn,editionDescriptionZh,editionPriceUSD,classId
iscn://likecoin-chain/KtDaMWiBIyJAboamREo1X1-VOmXKM6Baa367skiSQz0,Run To Seed,,"""Page, Thomas Nelson, 1853-1922""",https://www.gutenberg.org/cache/epub/23015/pg23015.cover.medium.jpg,23015,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1m8mzw255zsa2d88cn2ak6fpeh8gdvfuzxdfgxxhktxlfccdrdwpqlevrse
iscn://likecoin-chain/fc0qQ-vQBvE0wou8OVMEyRWnUyyD1BPJ647PGOsAvzg,Seth,,"""Burnett, Frances Hodgson, 1849-1924""",https://www.gutenberg.org/cache/epub/23325/pg23325.cover.medium.jpg,23325,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1zg6ejpuaz955rpqt9vy60lvrjkrd2pk3j93k0trpac0zunvj3tmqqmfjpx
iscn://likecoin-chain/Y8RRDV3FI5tW915oOXrKph05tIgG2UDDcz73VGaEc9s,"Surly Tim"": A Lancashire Story",,"""Burnett, Frances Hodgson, 1849-1924""",https://www.gutenberg.org/cache/epub/23324/pg23324.cover.medium.jpg,23324,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ce450wvdz8mgrsl0c5d7p2kk8ajvu9lkc749nd830nszhmq6ce9s4wu5d8
iscn://likecoin-chain/9rEAalUGg0742WdJlZAifToHu4wsI20yJkgAmRWTSic,"The Gallant, Good Riou"", and Jack Renton 1901",,"""Becke, Louis, 1855-1913""",https://www.gutenberg.org/cache/epub/25106/pg25106.cover.medium.jpg,25106,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft19eeqr0t5mrrrkr385y4k4pgjkpf7a7mqqqajthh8wh63e76re6gq90caqh
iscn://likecoin-chain/4v7aIXgCTi8zjxJ7VmYZmjB43sjrTsCcrs2qHDAf23Y,"The Kingdom of God Is Within You"" Christianity Not as a Mystic Religion but as a New Theory of Life",,"""Tolstoy, Leo, graf, 1828-1910"",""Garnett, Constance, 1861-1946 [Translator]""",https://www.gutenberg.org/cache/epub/43302/pg43302.cover.medium.jpg,43302,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1m57es4ynwhyyvlfye4zq2t34334dzxz5kuh5t48t8r5e3g4z722sfkk23j
iscn://likecoin-chain/PYml25RSPUBPR4w6gNo9Nm9Kwe3-7uLYE9kGw67qSu4,"The Ladies"": A Shining Constellation of Wit and Beauty",,"""Beck, L. Adams (Lily Adams), 1862-1931""",https://www.gutenberg.org/cache/epub/8434/pg8434.cover.medium.jpg,8434,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kpseqx6rh3whe2dldvlesj6ccghr3tegg8q4dc337wx6t576uxzqm3svp3
iscn://likecoin-chain/HPOyvfgjaUUOzCe9r-opsHCfVLE9DFbkpO8bCG1mMFM,"Where Angels Fear to Tread"" and Other Stories of the Sea",,"""Robertson, Morgan, 1861-1915""",https://www.gutenberg.org/cache/epub/23539/pg23539.cover.medium.jpg,23539,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft16agxulqar3g0fxkuxnpvllrp9c4x082nhka4y7x0s78kymnu9y0q3d38k5
iscn://likecoin-chain/OXYScIFw4DJwObOTHlsO9nc2gdlcPjfh7yJyn3GN7jw,'That Very Mab',,"""Kendall, May, 1861-"",""Lang, Andrew, 1844-1912""",https://www.gutenberg.org/cache/epub/21337/pg21337.cover.medium.jpg,21337,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1shagn67we2yxqpvm2hu9sneu4dfpd5y3tlryycnceh7nguq4naeqpyflhp
iscn://likecoin-chain/7G6J0K59BShpSsD21AfrgYTkU7P9KgiAKxlLiLVcmOQ,"A Beleaguered City Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen",,"""Oliphant, Mrs. (Margaret), 1828-1897""",https://www.gutenberg.org/cache/epub/11521/pg11521.cover.medium.jpg,11521,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kwuu2wnyc0pmwjgam80q23sm96mgqf0el8w0aefmdd0gu3p5v40qenlj8t
iscn://likecoin-chain/pOu9W3vbKeguSXqsGZGmppx6Q7x-zH8hMcmgfxOrnRw,A Bell's Biography,,"""Hawthorne, Nathaniel, 1804-1864""",https://www.gutenberg.org/cache/epub/9237/pg9237.cover.medium.jpg,9237,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft177p8xvs5mqmx6ad0nwgx65asra5d300w6qjcaml3pfd86w6r8jcs3su9n4
iscn://likecoin-chain/5zX1b5hHmwKT7luv4SXHXkG-W3nu4sBwsJ8e4kIHSr0,A Bicycle of Cathay,,"""Stockton, Frank Richard, 1834-1902"",""Lowell, Orson, 1871-1956 [Illustrator]""",https://www.gutenberg.org/cache/epub/12334/pg12334.cover.medium.jpg,12334,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1l4gwmd0ykks6k06xkna23zv445wj9ugpc466fhllvz7xdv36j3dq3ksw6l
iscn://likecoin-chain/Esoc1DJxDgZYEqA0ck0qBrh1BHR0GekZ9gIF3yRWhbY,A Bit O' Love,,"""Galsworthy, John, 1867-1933""",https://www.gutenberg.org/cache/epub/2915/pg2915.cover.medium.jpg,2915,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1r9gsaam9m0aqyxgzq7jzqzn2ahup97xrvw7xa26q2n2wf8rn7mjq4lhqk9
iscn://likecoin-chain/i2JuZgg7xRKBBNTFxoDCyDR4vv8rf9HpYTzHqT8_aH8,"A Book of English Prose Part II, Arranged for Secondary and High Schools",,"""Lubbock, Percy, 1879-1965""",https://www.gutenberg.org/cache/epub/19811/pg19811.cover.medium.jpg,19811,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1g406dj88mnu0jc34vuc34sk8edw4g8pzcww36wqdp7mns642yx8quryj6d
iscn://likecoin-chain/bfMqMxCngvn9SixUrn778tWVSVxWRMJAHs2PzhHwFWs,A Book of Golden Deeds,,"""Yonge, Charlotte M. (Charlotte Mary), 1823-1901""",https://www.gutenberg.org/cache/epub/6489/pg6489.cover.medium.jpg,6489,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft18xehw9xmm6pl5e6r0h6hc5xwj8he0adakjjtt8xc5s69amf0zt9sxuc8uf
iscn://likecoin-chain/Eog7PwSEF39UNhM12-ifkQM6fO6jUTsgIiSD-cSD4oE,"A Book of Operas: Their Histories, Their Plots, and Their Music",,"""Krehbiel, Henry Edward, 1854-1923""",https://www.gutenberg.org/cache/epub/5724/pg5724.cover.medium.jpg,5724,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kj8jmv2ms4z24v4u53x2ax8mpulkxzcvzyjzm98e46ytsd7t7z4qk4mpnl
iscn://likecoin-chain/ODUhPFJ8-qaxXANjuQ42f_khJJaiy6twmIYHBZZj2PQ,A Book of Scoundrels,,"""Whibley, Charles, 1859-1930""",https://www.gutenberg.org/cache/epub/1632/pg1632.cover.medium.jpg,1632,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1rsn6e0de6zw9eznwrh5zr59q055cj627j6u73vsrhkq5nphnej0qztnzdv
iscn://likecoin-chain/E2NE4iLWT45MCdt2cEqCXPzbMoIoPwZhwo7R8Kayz6k,A Border Ruffian 1891,,"""Janvier, Thomas A. (Thomas Allibone), 1849-1913""",https://www.gutenberg.org/cache/epub/23803/pg23803.cover.medium.jpg,23803,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1v9jt3jsnt6247028kgq7px8a3vj0wuez39fgmtk4gfcgwrr9gwnqw86znt
iscn://likecoin-chain/5vS8o_5ep5revlSj4Cd-Bicnl0VRjHPuB3xZxzmcJeA,A Boy Trooper With Sheridan First Massachusetts Cavalry,,"""Allen, Stanton P., 1849-1901""",https://www.gutenberg.org/cache/epub/45024/pg45024.cover.medium.jpg,45024,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ct0kkqhgsnz9gggt7hj80n79vacw95u3lzfm7wev2eauz4pnhqpsvw8658
iscn://likecoin-chain/q8i7hs4hvjyinNvfYKlGPpbhI3gpZ9-CQ6w24Vd_EW8,"A Brace Of Boys 1867, From ""Little Brother",,"""Ludlow, Fitz Hugh, 1836-1870""",https://www.gutenberg.org/cache/epub/23170/pg23170.cover.medium.jpg,23170,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1rult9t4s6ulltmzpnlq9hgldlypcgl23t4f4mepcfx9dtu2pj6kse2y7cc
iscn://likecoin-chain/5uymOPri61xc3Lg9SmnQtoAVvyYkhhDbElL42yappZE,A Breath of Prairie and other stories,,"""Lillibridge, Will, 1878-1909"",""Marchand, J. N. [Illustrator]""",https://www.gutenberg.org/cache/epub/29245/pg29245.cover.medium.jpg,29245,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1acy73l5j4vx7fguj4cesugtdn2c4qk5yf86yhh2yxl99lpkrz8ss53p8hy
iscn://likecoin-chain/-ht0mWVBWsijTZi7hOJEEPw6cZvTMrAlFxSbQ_qEWwY,A Brief History of the United States,,"""McMaster, John Bach, 1852-1932""",https://www.gutenberg.org/cache/epub/6896/pg6896.cover.medium.jpg,6896,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1d82j3v404s6lydqgrgy62kjyj3m3lff6g4j2t0s04e8mgm8angesfutmf2
iscn://likecoin-chain/opxphM1clxUBRtbQCnWBffLVc0z1seXzAaFiHmb4DOc,A Briefe and True Report of the New Found Land of Virginia,,"""Harriot, Thomas, 1560-1621""",https://www.gutenberg.org/cache/epub/4247/pg4247.cover.medium.jpg,4247,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft19dwdazq66uzn0nda5jtjp2m4cgnjq06v8gaflvwgwn3t7urq588qqf47g5
iscn://likecoin-chain/axjUIuvB-yrxlaNUzFD97icAg5kJMNUelkr62xaPG9M,A Calendar of Scottish Saints,,"""Barrett, Michael, 1848-""",https://www.gutenberg.org/cache/epub/31121/pg31121.cover.medium.jpg,31121,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vf2hr6wsa2phk967s6n7peae52h6vnppyt9z9evazrx366x3kmpqeypktr
iscn://likecoin-chain/R32cp4FTb_9pouux6dVTxCkj-Wiwh_-wfIyE-pC2ll0,A Calendar of Sonnets,,"""Jackson, Helen Hunt, 1830-1885""",https://www.gutenberg.org/cache/epub/19504/pg19504.cover.medium.jpg,19504,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1qnnhfaacs9tpzklqf8aaul4alpxkgau3n35ggczkan0k6dxljjesxm237q
iscn://likecoin-chain/jNwKI4pxm4zMddSpl0ez1-f2vf3w1cf_KLCMAlpnjio,A Castle in Spain: A Novel,,"""De Mille, James, 1833-1880""",https://www.gutenberg.org/cache/epub/30863/pg30863.cover.medium.jpg,30863,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1j2ahujvha7kz8lpyv0a6vj60aa79jnantxv7a5rzulfukad9rjuq4tuwdz
iscn://likecoin-chain/EmIDOtHe7r8SNxhkuFO-CvFLMkAyKUAodWmH1SlktB0,A Catechism of the Steam Engine,,"""Bourne, John, C. E.""",https://www.gutenberg.org/cache/epub/10998/pg10998.cover.medium.jpg,10998,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1thjw2g5xz6n4wucstcrc3aygmtrcyj9ncanlss56ggfp0xuvmpvspexd92
iscn://likecoin-chain/R3hYXQW-F0U8tSbT5g_29-5qGZ8bDHPHpRM7exkudPA,A Century of Negro Migration,,"""Woodson, Carter Godwin, 1875-1950""",https://www.gutenberg.org/cache/epub/10968/pg10968.cover.medium.jpg,10968,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1aqy5kdgvhlrx985vdkdxg3smrctn4jxth6ealq6rs4egr5wlgq7qp7znm8
iscn://likecoin-chain/O5j-iiS1Co5C196xXlbAc21TiuWikEUuDym0EMAHX_w,A Chair on the Boulevard,,"""Merrick, Leonard, 1864-1939""",https://www.gutenberg.org/cache/epub/9928/pg9928.cover.medium.jpg,9928,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ct8vxvx6vjwef06raupx6dfjh4n6w0wveuayns2fcpu053z29clqp7t67d
iscn://likecoin-chain/bNMGtUKZ1nUIvGFY_A68Adc62OfzBMG73Oe-VH-r5OY,A Child's Anti-Slavery Book Containing a Few Words about American Slave Children and Stories of Slave-Life.,,Various,https://www.gutenberg.org/cache/epub/10464/pg10464.cover.medium.jpg,10464,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vu3cjlhtee2ftvp65ctm7hkjqu5svd5j2x88mpraru8twjcmvjvq7jz5pz
iscn://likecoin-chain/Cg7mBmVwAsZIKP1PposWp3otVzr3oiZ3JXiZjXesYZ4,A Child's Story Garden,,"""Heber, Elizabeth [Compiler]""",https://www.gutenberg.org/cache/epub/7868/pg7868.cover.medium.jpg,7868,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kn4gfu7rwje2vauzjp2gn9gln8yggh7gsluvyynp5zajjmefvkpswhvlet
iscn://likecoin-chain/O_0sB590DeXCEjfSggYuwAISdgN4Tzfwwx8MoM20wz8,A Christmas Greeting: A Series of Stories,,"""Andersen, H. C. (Hans Christian), 1805-1875""",https://www.gutenberg.org/cache/epub/31103/pg31103.cover.medium.jpg,31103,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft17k9uchz2h77krw404wwsqj388qpulrdqyepce8evlk7gh5u0zrmsr35t7f
iscn://likecoin-chain/Hmi8zdKdMYQRuiqXsRpYvVgvdEVPP0b6eD_lzyJQW3s,A Christmas Mystery The Story of Three Wise Men,,"""Locke, William John, 1863-1930"",""Campbell, Blendon, 1872-1969 [Illustrator]""",https://www.gutenberg.org/cache/epub/10707/pg10707.cover.medium.jpg,10707,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1uqar24lvlkd65glkfprxmuxvukfx8lwrf92324vg89eujhykgghscz0yfp
iscn://likecoin-chain/bncDpxqERA98IwtUdCWbBz9F4BoUxp2ovflqZdquQX0,"A Collection of Old English Plays, Volume 3",,"""Bullen, A. H. (Arthur Henry), 1857-1920 [Editor]""",https://www.gutenberg.org/cache/epub/10734/pg10734.cover.medium.jpg,10734,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1tt8euq2m74nsngqrhtl8kd96a4jxkxmz8q6seta2rkhk7nuemesqqqftx3
iscn://likecoin-chain/6k9ZZELYGKVifJz4Qfr7BwQabrakcQlbmj-isz5q2Oo,"A Color Notation A measured color system, based on the three qualities Hue, Value and Chroma",,"""Munsell, A. H. (Albert Henry), 1858-1918""",https://www.gutenberg.org/cache/epub/26054/pg26054.cover.medium.jpg,26054,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1hf8cphdf36mw572jgka42h5jv90lkxgfej4zmulkvwp9lfpv0jjsrr0t5w
iscn://likecoin-chain/Bmufj6mFRntXF5vu0LWtmyyy8M4PIqtia2RJXv7tDPM,A Columbus of Space,,"""Serviss, Garrett Putman, 1851-1929""",https://www.gutenberg.org/cache/epub/8673/pg8673.cover.medium.jpg,8673,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1dyqwaprq4jy0cg43tm86ztvwzyl43alc3vd269d4064kzjxa05ss7t7hy2
iscn://likecoin-chain/J7Nh-QPSI5FO-Pmg_ZqnB0Yj6Yi2fDj6AAn7LIzp8Jw,A Connecticut Yankee in King Arthur's Court,,"""Twain, Mark, 1835-1910""",https://www.gutenberg.org/cache/epub/19506/pg19506.cover.medium.jpg,19506,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1qjy76qt2a2c35getske3xuelrsfgr7skvcde2c3jzn303zhg6meq38gk3m
iscn://likecoin-chain/8Wy7ploIzk7iQgG0lMfehwgZHF1O0Q2scfMM5SSKcPQ,A Cumberland Vendetta,,"""Fox, John, Jr., 1862-1919""",https://www.gutenberg.org/cache/epub/3022/pg3022.cover.medium.jpg,3022,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft15395zd6lmhfw57wwwd5tkrt6hw9csu63mdr8xeml5nstpkzhsr8s72eym0
iscn://likecoin-chain/2sjH7MB8aNO43F88RgtP6KSi5WNEoCu3pc3UrduLt60,A Daughter of Fife,,"""Barr, Amelia E., 1831-1919""",https://www.gutenberg.org/cache/epub/7062/pg7062.cover.medium.jpg,7062,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1a5kml2zcz2m2v9mgfjwcer8nu9f56stg65fyyf2t0fycjnr4sm4sgd73jc
iscn://likecoin-chain/eALEOoklzWg2p5bP1Szy_kzUI2HMRq0fjuQBtyK3eYU,A Day at the County Fair,,"""Burnett, Alice Hale""",https://www.gutenberg.org/cache/epub/23999/pg23999.cover.medium.jpg,23999,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1mvj698a4rxkhnsa4698vmghrr5l3dwzs5grpktfr7sdn8jqf0wls7qwfu5
iscn://likecoin-chain/6h3mCFvXj1BWDSn0dPUqh8EGhIZ0W0aV7sEMxYAuZL0,A Day in Old Athens; a Picture of Athenian Life,,"""Davis, William Stearns, 1877-1930""",https://www.gutenberg.org/cache/epub/4716/pg4716.cover.medium.jpg,4716,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft17mccatjdam3z6djw0c9pmk3vdahd0t4jqlwj4s5lame0dtvazetq28asj9
iscn://likecoin-chain/bUrnhDOiOl9j_mGhFmpe1exKZwQJBLl5oIIL5FFg6mA/1,A Day of Fate,,"""Roe, Edward Payson, 1838-1888""",https://www.gutenberg.org/cache/epub/6113/pg6113.cover.medium.jpg,6113,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ua8a6lp8x2rdhg0alp05jm9srlg2ulhx0l5u7huju20mwvu9vynq5zuvxv
iscn://likecoin-chain/YNWeVcm7OKb8RpMu4WEGKi2jd92qjjaOuNBsjCpKWMw,A Deal in Wheat and Other Stories of the New and Old West,,"""Norris, Frank, 1870-1902""",https://www.gutenberg.org/cache/epub/9905/pg9905.cover.medium.jpg,9905,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1lzexvmvqawp3wea7tu5x42vx2f82j8czuuyfmd97sz3er4jhc5ysrjag94
